1  117241803 111
1  1 5241803 111
1  116241803 111
1  112241803 111
1  1 7241803 111
1  120241813 111
1  115241813 111
1  116241811 111
1  126241813 111
1  1 5241813 111
1  118241803 111
1  124241812 111
1  1 9241813 111
1  115241811 111
1  131241812 111
1  1 7241803 511
1  111241813 111
1  129241812 111
1  122241803 111
1  128241812 111
1  127241802 111
1  1 5241803 111
1  117241803 111
1  115241803 111
1  1 5241803 111
1  1182418131011
1  121241813 111
1  122241812 111
1  1 6241801 111
1  1 8241811 111
1  1 9241801 111
1  122241813 111
1  110241813 111
1  117241811 111
1  119241803 111
1  130241813 211
1  127241802 911
1  1 2241813 111
1  1 2241803 111
1  126241802 111
1  122241813 111
1  1 4241801 111
1  111241813 111
1  1 5241802 111
1  114241813 111
1  1 8241813 111
1  130241802 111
1  118241813 111
1  1 7241801 511
1  110241803 111
1  112241811 511
1  116241803 111
1  117241812 111
1  117241802 111
1  124241813 111
1  139241801 911
1  122241802 111
1  1 3241801 911
1  116241803 111
1  119241813 111
1  116241802 111
1  1 5241803 111
1  116241813 311
1  118241802 111
1  131241813 111
1  123241803 111
1  118241813 111
1  130241812 111
1  150241802 711
1  1 4241811 111
1  125241813 111
1  113241813 111
1  132241803 111
1  126241812 111
1  1 8241813 111
1  118241812 111
1  123241802 111
1  1222418031111
1  112241801 111
1  1 3241813 111
2  1 14317111111
2  127431702 111
2  119431703 711
2  124431703 111
2  114431701 111
2  1 5431701 111
2  1 5431711 511
2  1 7431713 111
2  123431702 111
2  126431702 111
2  1 2431713 111
2  117431713 511
2  135431703 111
2  1 1431701 111
2  151431712 111
2  111431701 111
2  114431703 111
2  128431713 111
2  1 1431713 111
2  119431713 111
2  122431713 111
2  1 2431711 111
2  132431702 111
2  1 9431701 111
2  110431701 111
2  114431703 111
2  118431713 111
2  1 4431701 111
2  117431713 111
2  122431711 111
2  1 2431703 111
2  131431712 111
2  1 9431711 111
2  114431711 511
2  1 5431713 111
2  117431713 111
2  146431703 111
2  117431703 711
2  1 9431703 111
2  117431703 111
2  1 5431712 111
2  125431713 111
2  1 9431713 111
2  116431703 111
2  127431713 111
2  130431713 111
2  1 4431713 111
2  1354317121111
2  125431712 111
2  114431701 111
2  113431713 111
2  130431713 111
2  1 2431703 111
2  126431703 111
2  110431711 111
2  149431702 711
2  1 4431701 111
2  125431712 111
2  1 1431711 111
3  116431203 111
3  1 64312131111
3  128431213 111
3  1 9431213 111
3  123431213 111
3  118431211 111
3  1 5431211 111
3  143431212 111
3  116431211 111
3  117431203 111
3  110431211 111
3  1 5431212 111
3  128431213 111
3  119431203 111
3  122431213 111
3  1 2431201 111
3  111431213 111
3  133431212 111
3  1 9431202 111
3  1 7431202 111
3  111431203 111
3  136431213 111
3  110431213 111
3  122431213 111
3  130431213 111
3  1 9431212 111
3  111431201 111
3  123431213 111
3  1 7431201 111
3  115431213 111
3  1 8431211 111
3  1 3431203 111
3  114431213 111
3  141431213 111
3  110431213 111
3  117431213 511
3  130431213 111
3  132431213 711
3  112431201 111
3  1 2431213 111
3  1 5431211 111
3  1 6431203 111
3  115431201 711
3  119431202 111
3  135431212 111
3  110431201 111
3  115431213 111
3  1 4431213 111
3  116431201 111
3  1 5431213 111
3  1 7431213 111
3  114431203 111
3  123431203 111
3  143431202 111
3  114431212 111
3  1 3431202 111
3  124431213 111
3  112431211 111
3  1 7431211 111
3  149431213 111
3  124431203 111
2  230542603 111
2  260542602 111
2  248542602 111
2  225542602 111
2  215542613 111
2  230542613 111
2  2325426031111
2  232542602 111
2  2 15426011111
2  2 35426111011
2  213542613 511
2  217542602 111
2  2205426121111
2  240542612 111
2  245542612 111
2  2 5542613 511
2  245542602 111
2  2 2542613 611
2  2 1542601 411
2  2215426021011
2  229542611 111
2  2105426011111
2  210542613 111
2  230542603 111
2  232542613 111
2  214542603 511
2  238542613 111
2  212542603 511
2  232542612 111
2  2395426021111
2  218542603 111
2  2 3542611 111
2  211542603 111
2  220542613 111
2  225542603 111
2  213542603 111
2  226542612 111
2  218542603 111
2  235542613 611
2  2 1542611 211
